timeStamp,elapsed,bytes
11:51:44,132,215
11:51:44,138,261
11:51:44,132,261
11:51:44,136,261
11:51:44,138,261
11:51:44,53,260
11:51:44,59,260
11:51:44,59,260
11:51:44,64,260
11:51:44,62,214
11:51:44,54,214
11:51:44,56,260
11:51:44,57,214
11:51:44,59,260
11:51:44,58,260
11:51:44,53,260
11:51:44,54,260
11:51:44,53,260
11:51:44,54,260
11:51:44,56,214
11:51:44,54,260
11:51:45,54,260
11:51:45,62,260
11:51:45,60,214
11:51:45,57,260
11:51:45,55,260
11:51:45,53,260
11:51:45,53,260
11:51:45,53,214
11:51:45,56,260
11:51:45,53,214
11:51:45,55,260
11:51:45,56,214
11:51:45,53,260
11:51:45,57,260
11:51:45,54,214
11:51:45,53,260
11:51:45,53,214
11:51:45,55,260
11:51:45,57,214
11:51:45,54,260
11:51:45,53,214
11:51:45,56,260
11:51:45,56,260
11:51:45,59,260
11:51:45,53,260
11:51:45,53,260
11:51:45,54,260
11:51:45,54,260
11:51:45,54,260
11:51:45,53,260
11:51:45,54,260
11:51:45,54,260
11:51:45,60,214
11:51:45,58,260
11:51:45,54,260
11:51:45,55,260
11:51:45,53,214
11:51:45,61,260
11:51:45,56,260
11:51:45,54,260
11:51:45,54,214
11:51:45,54,260
11:51:45,54,260
11:51:45,58,260
11:51:45,55,260
11:51:45,54,260
11:51:44,875,215
11:51:45,55,214
11:51:45,55,260
11:51:45,57,260
11:51:45,53,214
11:51:45,53,214
11:51:45,53,260
11:51:45,53,260
11:51:45,54,260
11:51:45,54,260
11:51:45,52,260
11:51:45,57,260
11:51:45,57,260
11:51:45,55,260
11:51:45,55,260
11:51:45,55,214
11:51:45,53,214
11:51:45,57,214
11:51:45,57,260
11:51:45,53,260
11:51:45,52,260
11:51:45,53,214
11:51:45,53,260
11:51:45,59,260
11:51:45,61,260
11:51:45,55,260
11:51:45,55,260
11:51:45,56,260
11:51:45,53,214
11:51:45,55,260
11:51:45,57,260
11:51:45,54,260
11:51:45,53,260
11:51:45,52,214
11:51:45,58,260
11:51:45,58,260
11:51:45,61,260
11:51:45,54,260
11:51:45,53,260
11:51:45,56,260
11:51:45,57,260
11:51:45,53,214
11:51:45,53,260
11:51:45,54,260
11:51:45,57,260
11:51:45,59,260
11:51:45,59,260
11:51:45,53,260
11:51:45,54,260
11:51:45,53,260
11:51:45,62,260
11:51:45,56,260
11:51:45,58,260
11:51:46,53,260
11:51:46,64,260
11:51:46,56,260
11:51:46,60,260
11:51:46,55,260
11:51:46,58,260
11:51:46,53,214
11:51:46,58,260
11:51:46,60,260
11:51:46,56,260
11:51:46,57,214
11:51:46,57,260
11:51:46,53,260
11:51:46,58,260
11:51:46,55,260
11:51:46,55,260
11:51:46,55,260
11:51:46,58,260
11:51:46,53,260
11:51:46,53,260
11:51:46,52,260
11:51:46,53,260
11:51:46,58,214
11:51:46,56,260
11:51:46,54,214
11:51:46,57,260
11:51:46,54,214
11:51:46,61,260
11:51:46,55,260
11:51:46,58,260
11:51:46,54,260
11:51:46,56,260
11:51:46,56,214
11:51:46,55,214
11:51:46,59,260
11:51:46,58,260
11:51:46,53,260
11:51:46,54,214
11:51:46,53,260
11:51:46,54,260
11:51:46,57,260
11:51:46,54,260
11:51:46,53,260
11:51:46,52,214
11:51:46,57,260
11:51:46,54,260
11:51:46,54,260
11:51:46,56,214
11:51:46,54,260
11:51:44,1881,261
11:51:46,57,260
11:51:46,52,260
11:51:46,54,260
11:51:46,58,260
11:51:46,55,214
11:51:44,1889,261
11:51:46,53,260
11:51:46,53,260
11:51:46,54,260
11:51:46,53,260
11:51:46,60,260
11:51:46,54,260
11:51:46,52,214
11:51:46,58,260
11:51:46,54,260
11:51:46,54,214
11:51:46,54,214
11:51:46,58,260
11:51:46,58,214
11:51:46,57,214
11:51:46,55,260
11:51:46,65,260
11:51:46,57,260
11:51:46,53,260
11:51:46,53,214
11:51:46,53,214
11:51:46,60,260
11:51:46,55,214
11:51:46,55,214
11:51:46,53,260
11:51:46,55,260
11:51:46,53,214
11:51:46,53,260
11:51:46,60,260
11:51:46,57,260
11:51:46,57,214
11:51:46,55,260
11:51:46,58,260
11:51:46,55,214
11:51:46,54,260
11:51:46,57,260
11:51:46,54,260
11:51:46,54,260
11:51:46,57,260
11:51:46,54,260
11:51:46,53,260
11:51:46,54,260
11:51:46,53,260
11:51:46,52,214
11:51:46,53,260
11:51:46,52,260
11:51:46,53,260
11:51:46,52,214
11:51:46,56,260
11:51:46,55,260
11:51:46,53,260
11:51:46,53,214
11:51:46,54,214
11:51:46,53,260
11:51:46,53,260
11:51:46,53,260
11:51:46,60,214
11:51:46,57,260
11:51:46,53,214
11:51:46,53,260
11:51:46,53,260
11:51:46,52,214
11:51:46,52,260
11:51:47,54,260
11:51:46,57,260
11:51:47,60,260
11:51:47,53,260
11:51:47,53,260
11:51:47,53,260
11:51:47,57,260
11:51:47,54,260
11:51:47,54,214
11:51:47,55,260
11:51:47,53,214
11:51:47,52,260
11:51:47,52,260
11:51:47,53,260
11:51:47,53,260
11:51:47,53,260
11:51:47,53,214
11:51:47,53,260
11:51:47,59,260
11:51:47,53,214
11:51:47,53,260
11:51:47,55,260
11:51:47,58,260
11:51:47,54,214
11:51:47,53,260
11:51:47,54,260
11:51:47,54,214
11:51:47,58,260
11:51:47,52,260
11:51:47,54,260
11:51:47,56,214
11:51:47,58,260
11:51:47,52,260
11:51:47,54,260
11:51:47,62,260
11:51:47,59,260
11:51:47,53,260
11:51:47,57,214
11:51:47,54,214
11:51:47,57,260
11:51:47,56,260
11:51:47,56,260
11:51:47,53,260
11:51:47,55,260
11:51:47,53,260
11:51:47,52,260
11:51:47,54,260
11:51:47,57,214
11:51:47,53,214
11:51:47,56,260
11:51:47,53,260
11:51:47,54,260
11:51:47,52,260
11:51:47,53,260
11:51:47,61,214
11:51:47,59,214
11:51:47,53,260
11:51:47,55,260
11:51:47,58,260
11:51:47,55,260
11:51:47,54,260
11:51:47,54,260
11:51:47,60,260
11:51:47,54,260
11:51:47,53,260
11:51:47,53,214
11:51:47,57,260
11:51:47,53,214
11:51:47,54,260
11:51:47,59,260
11:51:47,60,260
11:51:47,56,260
11:51:47,71,260
11:51:47,55,260
11:51:44,2890,261
11:51:47,53,214
11:51:44,2893,261
11:51:47,55,260
11:51:44,2895,215
11:51:47,66,260
11:51:44,2900,215
11:51:47,53,260
11:51:47,53,260
11:51:47,53,260
11:51:47,53,260
11:51:47,54,260
11:51:47,58,260
11:51:47,54,214
11:51:47,54,214
11:51:47,57,260
11:51:47,58,214
11:51:47,56,260
11:51:47,54,260
11:51:47,53,260
11:51:47,58,260
11:51:47,55,260
11:51:47,54,214
11:51:47,57,214
11:51:47,58,260
11:51:47,58,260
11:51:47,58,260
11:51:47,56,260
11:51:47,57,260
11:51:47,55,260
11:51:47,69,260
11:51:47,59,260
11:51:47,55,214
11:51:47,54,214
11:51:47,58,260
11:51:47,54,260
11:51:47,54,214
11:51:47,54,260
11:51:47,55,260
11:51:47,54,260
11:51:47,55,260
11:51:47,55,260
11:51:47,54,214
11:51:47,53,260
11:51:47,53,260
11:51:47,59,260
11:51:47,56,260
11:51:47,55,260
11:51:47,62,260
11:51:47,56,260
11:51:47,55,260
11:51:47,54,260
11:51:47,55,260
11:51:47,54,260
11:51:47,55,260
11:51:47,54,260
11:51:47,54,214
11:51:47,54,260
11:51:47,56,260
11:51:47,53,260
11:51:47,59,260
11:51:47,55,214
11:51:47,54,214
11:51:47,58,260
11:51:47,55,260
11:51:47,54,260
11:51:47,55,260
11:51:47,53,259
11:51:47,56,214
11:51:47,55,260
11:51:47,54,260
11:51:47,54,214
11:51:47,57,260
11:51:47,54,260
11:51:47,60,260
11:51:47,55,260
11:51:47,57,260
11:51:47,57,260
11:51:47,56,260
11:51:47,53,260
11:51:47,53,260
11:51:47,54,260
11:51:47,53,260
11:51:47,58,260
11:51:47,55,260
11:51:47,54,214
11:51:47,59,260
11:51:47,56,214
11:51:47,55,260
11:51:47,58,260
11:51:47,54,260
11:51:47,54,260
11:51:47,52,214
11:51:47,55,214
11:51:47,55,260
11:51:48,58,214
11:51:48,59,260
11:51:48,56,260
11:51:48,53,260
11:51:48,53,214
11:51:48,57,214
11:51:48,60,260
11:51:48,57,260
11:51:48,65,260
11:51:48,53,260
11:51:48,54,260
11:51:48,53,260
11:51:48,55,260
11:51:48,55,214
11:51:48,55,214
11:51:48,53,260
11:51:48,55,260
11:51:48,54,214
11:51:48,53,214
11:51:48,55,214
11:51:48,56,214
11:51:48,59,214
11:51:48,55,214
11:51:48,54,260
11:51:48,53,260
11:51:48,56,214
11:51:48,57,260
11:51:48,54,214
11:51:48,54,260
11:51:48,53,260
11:51:48,53,214
11:51:48,53,260
11:51:48,56,214
11:51:48,55,214
11:51:48,54,260
11:51:48,62,214
11:51:48,53,260
11:51:48,60,214
11:51:48,54,260
11:51:48,53,214
11:51:48,53,214
11:51:48,54,260
11:51:48,53,260
11:51:48,53,214
11:51:48,54,260
11:51:48,57,260
11:51:48,59,260
11:51:48,59,260
11:51:48,58,260
11:51:48,54,260
11:51:48,54,260
11:51:48,60,260
11:51:48,53,260
11:51:48,53,260
11:51:48,60,260
11:51:48,54,260
11:51:48,54,260
11:51:48,53,260
11:51:48,55,260
11:51:48,53,260
11:51:48,53,260
11:51:48,58,260
11:51:48,53,260
11:51:48,54,214
11:51:48,62,260
11:51:48,55,260
11:51:48,54,260
11:51:48,53,214
11:51:48,53,259
11:51:48,57,260
11:51:48,57,260
11:51:48,56,260
11:51:48,57,260
11:51:48,54,260
11:51:48,53,214
11:51:48,53,260
11:51:48,55,260
11:51:48,58,260
11:51:48,55,260
11:51:48,53,260
11:51:48,53,260
11:51:48,58,214
11:51:48,54,260
11:51:48,54,260
11:51:48,57,260
11:51:48,55,214
11:51:48,53,214
11:51:48,56,260
11:51:48,52,260
11:51:48,53,260
11:51:48,64,260
11:51:48,54,260
11:51:48,53,260
11:51:48,58,214
11:51:48,55,260
11:51:48,57,260
11:51:48,54,260
11:51:48,54,260
11:51:48,54,260
11:51:48,56,260
11:51:48,54,260
11:51:48,54,260
11:51:48,55,214
11:51:48,57,260
11:51:48,54,260
11:51:48,53,260
11:51:48,58,260
11:51:48,53,260
11:51:48,54,260
11:51:48,55,260
11:51:48,57,214
11:51:48,56,260
11:51:48,54,260
11:51:48,57,260
11:51:48,53,260
11:51:48,56,260
11:51:44,3908,261
11:51:48,53,260
11:51:44,3917,261
11:51:48,57,214
11:51:44,3920,261
11:51:48,62,260
11:51:44,3929,261
11:51:48,62,260
11:51:44,3922,261
11:51:44,3930,261
11:51:44,3934,261
11:51:48,54,260
11:51:44,3941,261
11:51:48,53,260
11:51:48,52,260
11:51:48,55,260
11:51:48,53,259
11:51:48,54,260
11:51:48,55,260
11:51:48,54,260
11:51:48,53,260
11:51:48,52,260
11:51:48,56,214
11:51:48,54,260
11:51:48,55,260
11:51:48,56,260
11:51:48,61,214
11:51:48,56,260
11:51:48,55,214
11:51:48,53,260
11:51:48,57,214
11:51:48,54,260
11:51:48,57,260
11:51:48,54,260
11:51:48,58,260
11:51:48,56,260
11:51:48,58,214
11:51:48,54,260
11:51:48,58,260
11:51:48,57,260
11:51:48,53,260
11:51:48,54,214
11:51:48,52,260
11:51:48,53,214
11:51:48,57,260
11:51:48,53,260
11:51:48,62,260
11:51:48,54,260
11:51:48,56,260
11:51:48,53,260
11:51:48,53,260
11:51:48,59,260
11:51:48,54,260
11:51:48,57,260
11:51:48,53,260
11:51:48,54,260
11:51:48,52,214
11:51:48,55,260
11:51:48,57,214
11:51:48,54,260
11:51:48,55,260
11:51:48,54,260
11:51:48,54,214
11:51:48,54,260
11:51:48,58,260
11:51:48,54,214
11:51:48,55,260
11:51:48,60,260
11:51:48,60,260
11:51:48,52,214
11:51:48,54,214
11:51:48,56,260
11:51:48,55,259
11:51:48,55,260
11:51:48,59,260
11:51:48,63,260
11:51:48,57,260
11:51:48,55,260
11:51:48,56,260
11:51:48,54,260
11:51:48,72,260
11:51:48,60,260
11:51:48,55,260
11:51:48,57,260
11:51:48,58,260
11:51:48,55,260
11:51:48,57,260
11:51:48,53,260
11:51:48,53,260
11:51:48,56,214
11:51:48,53,260
11:51:48,58,260
11:51:48,53,260
11:51:48,55,260
11:51:48,65,260
11:51:48,59,260
11:51:48,58,260
11:51:48,57,260
11:51:48,55,260
11:51:48,55,260
11:51:48,57,214
11:51:48,56,260
11:51:48,55,260
11:51:48,54,260
11:51:48,54,260
11:51:48,55,260
11:51:48,55,260
11:51:48,65,260
11:51:48,60,214
11:51:48,54,260
11:51:48,53,214
11:51:48,55,260
11:51:48,52,259
11:51:48,54,260
11:51:48,53,260
11:51:48,53,260
11:51:48,54,260
11:51:48,58,260
11:51:48,55,260
11:51:48,53,214
11:51:48,58,260
11:51:48,57,260
11:51:48,53,260
11:51:48,53,260
11:51:48,53,260
11:51:48,53,260
11:51:48,54,260
11:51:48,53,260
11:51:48,54,260
11:51:48,54,260
11:51:48,56,260
11:51:48,56,260
11:51:48,53,259
11:51:48,53,214
11:51:48,56,214
11:51:48,55,260
11:51:48,60,260
11:51:48,56,260
11:51:48,61,214
11:51:48,57,260
11:51:48,55,260
11:51:48,57,260
11:51:48,53,260
11:51:48,55,260
11:51:48,53,260
11:51:48,53,260
11:51:48,53,260
11:51:48,55,260
11:51:48,53,214
11:51:48,53,260
11:51:48,54,260
11:51:48,53,260
11:51:48,54,260
11:51:48,53,260
11:51:49,53,260
11:51:49,53,260
11:51:49,54,260
11:51:49,58,260
11:51:49,54,214
11:51:49,56,260
11:51:49,55,260
11:51:49,59,260
11:51:49,54,214
11:51:49,57,260
11:51:49,53,260
11:51:49,53,260
11:51:49,53,214
11:51:49,53,260
11:51:49,53,260
11:51:49,53,260
11:51:49,60,214
11:51:49,60,260
11:51:49,54,260
11:51:49,54,260
11:51:49,53,260
11:51:49,55,260
11:51:49,53,214
11:51:49,57,214
11:51:49,55,260
11:51:49,64,260
11:51:49,54,214
