timeStamp,elapsed,bytes
10:37:34,138,261
10:37:34,138,261
10:37:34,142,261
10:37:34,140,261
10:37:34,144,261
10:37:34,56,214
10:37:34,59,214
10:37:34,60,260
10:37:34,63,260
10:37:34,59,260
10:37:34,52,214
10:37:34,56,214
10:37:34,58,260
10:37:34,58,260
10:37:34,56,260
10:37:34,54,260
10:37:34,54,260
10:37:34,56,260
10:37:34,57,260
10:37:34,59,260
10:37:34,51,214
10:37:34,53,260
10:37:34,58,260
10:37:34,55,260
10:37:34,61,260
10:37:35,55,260
10:37:35,55,260
10:37:35,58,214
10:37:35,59,260
10:37:35,59,260
10:37:35,52,260
10:37:35,54,260
10:37:35,55,260
10:37:35,58,214
10:37:35,58,260
10:37:35,52,260
10:37:35,52,260
10:37:35,52,260
10:37:35,54,260
10:37:35,58,260
10:37:34,568,261
10:37:35,51,260
10:37:35,51,214
10:37:35,54,260
10:37:35,52,260
10:37:35,53,260
10:37:35,52,260
10:37:35,54,260
10:37:35,51,214
10:37:35,56,260
10:37:35,53,260
10:37:35,53,260
10:37:35,51,214
10:37:35,52,260
10:37:35,54,260
10:37:35,51,214
10:37:35,56,260
10:37:35,53,260
10:37:35,52,260
10:37:35,52,260
10:37:35,52,260
10:37:35,54,214
10:37:35,54,260
10:37:35,53,260
10:37:35,52,260
10:37:35,52,214
10:37:35,52,214
10:37:35,53,260
10:37:35,52,260
10:37:35,51,260
10:37:35,60,260
10:37:35,51,214
10:37:35,51,260
10:37:35,52,214
10:37:35,52,260
10:37:35,53,260
10:37:35,53,260
10:37:35,56,260
10:37:35,52,260
10:37:35,52,260
10:37:35,51,214
10:37:35,54,260
10:37:35,56,260
10:37:35,55,260
10:37:35,52,260
10:37:35,55,260
10:37:35,52,260
10:37:35,52,214
10:37:35,54,214
10:37:35,54,260
10:37:35,51,214
10:37:35,51,214
10:37:35,54,260
10:37:35,51,260
10:37:35,54,214
10:37:35,52,259
10:37:35,51,260
10:37:35,54,260
10:37:35,54,260
10:37:35,50,214
10:37:35,53,214
10:37:35,55,260
10:37:35,52,260
10:37:35,52,260
10:37:35,51,214
10:37:35,52,260
10:37:35,54,260
10:37:35,53,260
10:37:35,54,260
10:37:35,53,260
10:37:35,52,260
10:37:35,52,260
10:37:35,55,260
10:37:35,57,214
10:37:35,55,260
10:37:35,54,260
10:37:35,53,260
10:37:35,57,260
10:37:35,56,214
10:37:35,54,260
10:37:35,55,260
10:37:35,54,260
10:37:35,57,214
10:37:35,54,260
10:37:35,57,214
10:37:35,64,260
10:37:35,53,260
10:37:35,54,260
10:37:36,51,214
10:37:36,52,214
10:37:36,52,214
10:37:35,61,260
10:37:35,59,260
10:37:36,54,260
10:37:36,56,260
10:37:36,53,260
10:37:36,56,260
10:37:36,63,260
10:37:36,62,260
10:37:36,54,260
10:37:36,54,260
10:37:36,59,260
10:37:36,55,214
10:37:36,58,260
10:37:36,58,260
10:37:36,52,260
10:37:34,1577,215
10:37:36,57,260
10:37:36,53,260
10:37:36,62,260
10:37:36,60,260
10:37:34,1578,215
10:37:36,61,260
10:37:36,57,260
10:37:36,55,214
10:37:36,60,214
10:37:36,59,260
10:37:36,62,260
10:37:36,58,214
10:37:36,72,260
10:37:36,60,214
10:37:36,54,260
10:37:36,53,260
10:37:36,54,260
10:37:36,54,260
10:37:36,60,260
10:37:36,53,214
10:37:36,55,214
10:37:36,53,260
10:37:36,53,260
10:37:36,53,260
10:37:36,53,260
10:37:36,51,214
10:37:36,53,260
10:37:36,55,260
10:37:36,58,260
10:37:36,57,260
10:37:36,58,260
10:37:36,57,260
10:37:36,57,260
10:37:36,54,260
10:37:36,56,260
10:37:36,52,260
10:37:36,53,260
10:37:36,56,260
10:37:36,53,260
10:37:36,51,214
10:37:36,52,214
10:37:36,52,260
10:37:36,51,214
10:37:36,51,214
10:37:36,52,260
10:37:36,57,260
10:37:36,55,214
10:37:36,52,260
10:37:36,54,260
10:37:36,57,214
10:37:36,53,260
10:37:36,55,260
10:37:36,59,260
